12 WRITE irqhandler 0000002C
14 WRITE irq1enable 00000001
16 WRITE diskbuffer 00000200
18 WRITE diskcmd 00000001
20 READ diskstatus 00000001
24 READ diskstatus 00000001
28 READ diskstatus 00000001
32 READ diskstatus 00000001
36 READ diskstatus 00000001
40 READ diskstatus 00000001
44 READ diskstatus 00000001
48 READ diskstatus 00000001
52 READ diskstatus 00000001
56 READ diskstatus 00000001
60 READ diskstatus 00000001
64 READ diskstatus 00000001
68 READ diskstatus 00000001
72 READ diskstatus 00000001
76 READ diskstatus 00000001
80 READ diskstatus 00000001
84 READ diskstatus 00000001
88 READ diskstatus 00000001
92 READ diskstatus 00000001
96 READ diskstatus 00000001
100 READ diskstatus 00000001
104 READ diskstatus 00000001
108 READ diskstatus 00000001
112 READ diskstatus 00000001
116 READ diskstatus 00000001
120 READ diskstatus 00000001
124 READ diskstatus 00000001
128 READ diskstatus 00000001
132 READ diskstatus 00000001
136 READ diskstatus 00000001
140 READ diskstatus 00000001
144 READ diskstatus 00000001
148 READ diskstatus 00000001
152 READ diskstatus 00000001
156 READ diskstatus 00000001
160 READ diskstatus 00000001
164 READ diskstatus 00000001
168 READ diskstatus 00000001
172 READ diskstatus 00000001
176 READ diskstatus 00000001
180 READ diskstatus 00000001
184 READ diskstatus 00000001
188 READ diskstatus 00000001
192 READ diskstatus 00000001
196 READ diskstatus 00000001
200 READ diskstatus 00000001
204 READ diskstatus 00000001
208 READ diskstatus 00000001
212 READ diskstatus 00000001
216 READ diskstatus 00000001
220 READ diskstatus 00000001
224 READ diskstatus 00000001
228 READ diskstatus 00000001
232 READ diskstatus 00000001
236 READ diskstatus 00000001
240 READ diskstatus 00000001
244 READ diskstatus 00000001
248 READ diskstatus 00000001
252 READ diskstatus 00000001
256 READ diskstatus 00000001
260 READ diskstatus 00000001
264 READ diskstatus 00000001
268 READ diskstatus 00000001
272 READ diskstatus 00000001
276 READ diskstatus 00000001
280 READ diskstatus 00000001
284 READ diskstatus 00000001
288 READ diskstatus 00000001
292 READ diskstatus 00000001
296 READ diskstatus 00000001
300 READ diskstatus 00000001
304 READ diskstatus 00000001
308 READ diskstatus 00000001
312 READ diskstatus 00000001
316 READ diskstatus 00000001
320 READ diskstatus 00000001
324 READ diskstatus 00000001
328 READ diskstatus 00000001
332 READ diskstatus 00000001
336 READ diskstatus 00000001
340 READ diskstatus 00000001
344 READ diskstatus 00000001
348 READ diskstatus 00000001
352 READ diskstatus 00000001
356 READ diskstatus 00000001
360 READ diskstatus 00000001
364 READ diskstatus 00000001
368 READ diskstatus 00000001
372 READ diskstatus 00000001
376 READ diskstatus 00000001
380 READ diskstatus 00000001
384 READ diskstatus 00000001
388 READ diskstatus 00000001
392 READ diskstatus 00000001
396 READ diskstatus 00000001
400 READ diskstatus 00000001
404 READ diskstatus 00000001
408 READ diskstatus 00000001
412 READ diskstatus 00000001
416 READ diskstatus 00000001
420 READ diskstatus 00000001
424 READ diskstatus 00000001
428 READ diskstatus 00000001
432 READ diskstatus 00000001
436 READ diskstatus 00000001
440 READ diskstatus 00000001
444 READ diskstatus 00000001
448 READ diskstatus 00000001
452 READ diskstatus 00000001
456 READ diskstatus 00000001
460 READ diskstatus 00000001
464 READ diskstatus 00000001
468 READ diskstatus 00000001
472 READ diskstatus 00000001
476 READ diskstatus 00000001
480 READ diskstatus 00000001
484 READ diskstatus 00000001
488 READ diskstatus 00000001
492 READ diskstatus 00000001
496 READ diskstatus 00000001
500 READ diskstatus 00000001
504 READ diskstatus 00000001
508 READ diskstatus 00000001
512 READ diskstatus 00000001
516 READ diskstatus 00000001
520 READ diskstatus 00000001
524 READ diskstatus 00000001
528 READ diskstatus 00000001
532 READ diskstatus 00000001
536 READ diskstatus 00000001
540 READ diskstatus 00000001
544 READ diskstatus 00000001
548 READ diskstatus 00000001
552 READ diskstatus 00000001
556 READ diskstatus 00000001
560 READ diskstatus 00000001
564 READ diskstatus 00000001
568 READ diskstatus 00000001
572 READ diskstatus 00000001
576 READ diskstatus 00000001
580 READ diskstatus 00000001
584 READ diskstatus 00000001
588 READ diskstatus 00000001
592 READ diskstatus 00000001
596 READ diskstatus 00000001
600 READ diskstatus 00000001
604 READ diskstatus 00000001
608 READ diskstatus 00000001
612 READ diskstatus 00000001
616 READ diskstatus 00000001
620 READ diskstatus 00000001
624 READ diskstatus 00000001
628 READ diskstatus 00000001
632 READ diskstatus 00000001
636 READ diskstatus 00000001
640 READ diskstatus 00000001
644 READ diskstatus 00000001
648 READ diskstatus 00000001
652 READ diskstatus 00000001
656 READ diskstatus 00000001
660 READ diskstatus 00000001
664 READ diskstatus 00000001
668 READ diskstatus 00000001
672 READ diskstatus 00000001
676 READ diskstatus 00000001
680 READ diskstatus 00000001
684 READ diskstatus 00000001
688 READ diskstatus 00000001
692 READ diskstatus 00000001
696 READ diskstatus 00000001
700 READ diskstatus 00000001
704 READ diskstatus 00000001
708 READ diskstatus 00000001
712 READ diskstatus 00000001
716 READ diskstatus 00000001
720 READ diskstatus 00000001
724 READ diskstatus 00000001
728 READ diskstatus 00000001
732 READ diskstatus 00000001
736 READ diskstatus 00000001
740 READ diskstatus 00000001
744 READ diskstatus 00000001
748 READ diskstatus 00000001
752 READ diskstatus 00000001
756 READ diskstatus 00000001
760 READ diskstatus 00000001
764 READ diskstatus 00000001
768 READ diskstatus 00000001
772 READ diskstatus 00000001
776 READ diskstatus 00000001
780 READ diskstatus 00000001
784 READ diskstatus 00000001
788 READ diskstatus 00000001
792 READ diskstatus 00000001
796 READ diskstatus 00000001
800 READ diskstatus 00000001
804 READ diskstatus 00000001
808 READ diskstatus 00000001
812 READ diskstatus 00000001
816 READ diskstatus 00000001
820 READ diskstatus 00000001
824 READ diskstatus 00000001
828 READ diskstatus 00000001
832 READ diskstatus 00000001
836 READ diskstatus 00000001
840 READ diskstatus 00000001
844 READ diskstatus 00000001
848 READ diskstatus 00000001
852 READ diskstatus 00000001
856 READ diskstatus 00000001
860 READ diskstatus 00000001
